"
Date","Open
","Close
","High
","Low
","Volume
","positive_score
","negative_score
","neutral_score
"
2024-04-18,519.400024,532.000000,532.799988,519.400024,1864245,0.000252,0.000019,0.000003
2024-04-19,530.200012,535.799988,536.799988,525.200012,1109518,0.879990,0.102148,0.017863
2024-04-22,538.400024,528.599976,539.000000,525.799988,676555,0.615993,0.071503,0.012504
2024-04-23,530.000000,528.799988,531.599976,525.200012,594458,0.919959,0.047714,0.032327
2024-04-24,528.799988,532.000000,536.400024,528.799988,523975,0.934561,0.042721,0.022718
2024-04-25,531.400024,532.200012,532.599976,526.599976,533685,0.654193,0.029905,0.015902
2024-04-26,533.400024,539.400024,539.799988,530.200012,370015,0.457935,0.020933,0.011132
2024-04-29,539.599976,543.400024,544.000000,538.799988,420483,0.320554,0.014653,0.007792
2024-04-30,545.000000,544.200012,546.200012,536.000000,277918,0.224388,0.010257,0.005454
2024-05-02,539.599976,537.799988,541.000000,534.200012,658732,0.816197,0.141640,0.042163
2024-05-03,537.799988,537.799988,539.599976,532.400024,370048,0.571338,0.099148,0.029514
2024-05-06,540.000000,542.000000,542.000000,538.400024,411574,0.399936,0.069404,0.020660
2024-05-07,543.200012,547.000000,547.000000,538.200012,496930,0.279955,0.048583,0.014462
2024-05-08,551.799988,556.000000,557.599976,550.799988,332753,0.195969,0.034008,0.010123
2024-05-10,561.400024,562.799988,565.799988,558.400024,506181,0.137178,0.023805,0.007086
2024-05-13,562.599976,569.400024,569.400024,562.000000,522426,0.096025,0.016664,0.004960
2024-05-14,569.400024,568.599976,572.400024,563.400024,804575,0.067217,0.011665,0.003472
2024-05-15,570.000000,570.599976,572.200012,566.599976,663293,0.838625,0.149365,0.012011
2024-05-16,572.000000,563.400024,572.200012,562.599976,627126,0.587037,0.104555,0.008407
2024-05-17,562.400024,558.400024,563.400024,555.200012,451214,0.410926,0.073189,0.005885
2024-05-20,558.400024,559.400024,562.000000,557.400024,275616,0.287648,0.051232,0.004120
2024-05-21,559.400024,567.400024,567.799988,558.799988,421076,0.201354,0.035862,0.002884
2024-05-22,567.400024,563.799988,569.000000,561.000000,374810,0.140948,0.025104,0.002019
2024-05-23,563.000000,575.000000,575.200012,563.000000,559120,0.098663,0.017573,0.001413
2024-05-24,572.799988,573.400024,574.799988,570.200012,582683,0.069064,0.012301,0.000989
2024-05-27,573.599976,578.200012,578.200012,572.799988,318757,0.048345,0.008611,0.000692
2024-05-28,578.000000,573.799988,579.200012,569.400024,406217,0.033842,0.006027,0.000485
2024-05-29,572.799988,575.200012,578.599976,572.200012,705767,0.023689,0.004219,0.000339
2024-05-30,575.000000,577.799988,579.599976,574.000000,639295,0.016582,0.002953,0.000237
2024-05-31,577.799988,575.599976,578.799988,573.200012,764052,0.498918,0.485064,0.016018
2024-06-03,575.599976,577.400024,583.599976,573.200012,1062439,0.349243,0.339545,0.011212
2024-06-04,577.599976,577.000000,580.799988,569.000000,856629,0.920279,0.062942,0.016779
2024-06-05,577.599976,584.400024,584.400024,576.400024,458966,0.644195,0.044060,0.011745
2024-06-07,589.000000,591.599976,593.200012,581.000000,910289,0.450937,0.030842,0.008221
2024-06-10,589.200012,588.599976,593.599976,586.200012,821584,0.315656,0.021589,0.005755
2024-06-11,588.599976,584.599976,591.200012,581.400024,654306,0.220959,0.015112,0.004029
2024-06-12,587.799988,596.000000,596.799988,586.799988,589804,0.154671,0.010579,0.002820
2024-06-13,596.000000,593.000000,600.400024,590.200012,1163746,0.108270,0.007405,0.001974
2024-06-14,593.799988,589.799988,595.599976,584.599976,609515,0.075789,0.005184,0.001382
2024-06-17,592.400024,593.000000,596.400024,591.400024,691817,0.053052,0.003629,0.000967
2024-06-18,596.000000,603.599976,604.400024,596.000000,708351,0.037137,0.002540,0.000677
2024-06-19,605.400024,599.000000,606.200012,597.599976,468180,0.025996,0.001778,0.000474
2024-06-20,599.799988,600.799988,602.799988,596.200012,950145,0.018197,0.001245,0.000332
2024-06-24,585.200012,587.799988,592.200012,582.400024,1042798,0.012738,0.000871,0.000232
2024-06-25,583.000000,583.200012,584.599976,579.599976,606944,0.909945,0.076156,0.013899
2024-06-26,588.599976,584.000000,589.799988,582.799988,675272,0.636961,0.053309,0.009729
2024-06-27,589.000000,590.200012,592.599976,587.200012,619058,0.445873,0.037316,0.006811
2024-06-28,593.000000,588.000000,595.400024,584.000000,453193,0.312111,0.026122,0.004767
2024-07-01,591.200012,592.599976,593.000000,586.599976,393687,0.218478,0.018285,0.003337
2024-07-02,590.200012,584.799988,590.200012,580.400024,368470,0.152934,0.012800,0.002336
2024-07-03,586.599976,585.200012,589.799988,584.599976,621885,0.107054,0.008960,0.001635
2024-07-04,586.599976,590.000000,591.599976,585.000000,286752,0.074938,0.006272,0.001145
2024-07-05,591.000000,581.400024,593.000000,581.400024,396563,0.052457,0.004390,0.000801
2024-07-08,583.400024,589.799988,591.599976,582.400024,439030,0.036720,0.003073,0.000561
2024-07-09,588.400024,588.400024,594.400024,583.599976,450419,0.025704,0.002151,0.000393
2024-07-10,589.400024,590.799988,591.000000,584.400024,639430,0.017993,0.001506,0.000275
2024-07-11,592.799988,595.799988,596.000000,590.400024,693222,0.012595,0.001054,0.000192
2024-07-12,596.000000,610.599976,611.799988,595.400024,859834,0.008816,0.000738,0.000135
2024-07-15,610.599976,611.200012,619.200012,610.400024,473848,0.006171,0.000517,0.000094
2024-07-16,610.200012,613.799988,614.400024,607.200012,274993,0.004320,0.000362,0.000066
2024-07-17,610.000000,609.599976,612.200012,604.599976,683586,0.003024,0.000253,0.000046
2024-07-18,581.400024,578.000000,583.799988,568.000000,1528306,0.852613,0.131645,0.015742
2024-07-19,578.000000,579.799988,585.599976,575.200012,609491,0.596829,0.092151,0.011019
2024-07-22,582.000000,586.200012,590.799988,579.799988,576178,0.417780,0.064506,0.007714
2024-07-23,591.200012,596.400024,597.400024,589.799988,345080,0.631224,0.301278,0.067498
2024-07-24,594.000000,587.599976,601.200012,587.000000,322401,0.441857,0.210894,0.047249
2024-07-25,581.000000,579.200012,584.599976,569.599976,536010,0.309300,0.147626,0.033074
2024-07-26,579.200012,589.799988,591.000000,579.000000,299821,0.216510,0.103338,0.023152
2024-07-29,592.599976,583.400024,593.799988,583.200012,369704,0.151557,0.072337,0.016206
2024-07-30,585.400024,586.599976,589.200012,583.200012,464242,0.106090,0.050636,0.011344
2024-07-31,590.200012,594.799988,595.200012,588.599976,327142,0.074263,0.035445,0.007941
2024-08-01,595.000000,575.000000,595.000000,574.400024,410310,0.051984,0.024812,0.005559
2024-08-02,577.400024,547.799988,577.400024,545.400024,991005,0.036389,0.017368,0.003891
2024-08-05,532.200012,540.599976,544.400024,510.399994,2316320,0.918209,0.057892,0.023899
2024-08-06,546.599976,537.599976,547.799988,534.599976,790568,0.642746,0.040524,0.016729
2024-08-07,540.599976,544.000000,545.599976,537.799988,578861,0.449922,0.028367,0.011711
2024-08-08,538.400024,549.799988,553.400024,536.000000,432166,0.314946,0.019857,0.008197
2024-08-09,550.000000,550.400024,555.599976,548.599976,322639,0.220462,0.013900,0.005738
2024-08-12,552.599976,553.000000,554.599976,550.200012,218796,0.154323,0.009730,0.004017
2024-08-13,554.000000,557.599976,558.000000,552.599976,567652,0.108026,0.006811,0.002812
2024-08-14,560.000000,561.400024,562.599976,558.000000,270272,0.075618,0.004768,0.001968
2024-08-15,565.400024,570.200012,570.400024,561.200012,397068,0.052933,0.003337,0.001378
2024-08-16,572.599976,571.799988,574.200012,569.799988,554750,0.037053,0.002336,0.000964
2024-08-19,570.599976,573.200012,574.799988,569.400024,292028,0.025937,0.001635,0.000675
2024-08-20,574.000000,573.000000,578.599976,571.000000,267261,0.018156,0.001145,0.000473
2024-08-21,573.000000,572.799988,575.200012,571.599976,296927,0.904745,0.059451,0.035805
2024-08-22,573.000000,577.200012,578.400024,573.000000,240291,0.633321,0.041615,0.025063
2024-08-23,575.799988,574.200012,580.200012,573.799988,524612,0.443325,0.029131,0.017544
2024-08-26,576.400024,578.000000,581.200012,575.400024,464672,0.310327,0.020392,0.012281
2024-08-27,576.599976,577.400024,578.000000,570.799988,504385,0.820929,0.161747,0.017325
2024-08-28,578.400024,579.799988,583.799988,574.799988,496331,0.869516,0.065844,0.064640
2024-08-29,580.000000,584.000000,588.000000,578.599976,483770,0.608661,0.046091,0.045248
2024-08-30,583.000000,587.200012,588.799988,581.200012,474467,0.426063,0.032263,0.031674
2024-09-02,587.400024,590.400024,590.400024,579.000000,483618,0.298244,0.022584,0.022172
2024-09-03,590.400024,584.599976,594.000000,581.799988,534650,0.935404,0.038761,0.025835
2024-09-04,562.599976,572.799988,574.799988,559.000000,829384,0.893458,0.079381,0.027161
2024-09-05,570.599976,561.200012,574.400024,561.200012,635328,0.671334,0.258352,0.070314
2024-09-06,559.200012,551.400024,562.599976,550.799988,418369,0.469934,0.180846,0.049220
