,Open,Close,High,Low,positive_score,negative_score,neutral_score
2024-05-13,2625.89990234375,2624.760009765625,2628.889892578125,2616.97998046875,0.0,0.0,0.0
2024-05-14,2624.800048828125,2632.85009765625,2634.72998046875,2617.85009765625,0.0,0.0,0.0
2024-05-15,2639.969970703125,2627.52001953125,2642.719970703125,2619.7900390625,0.0,0.0,0.0
2024-05-16,2628.52001953125,2608.820068359375,2629.239990234375,2602.43994140625,0.0,0.0,0.0
2024-05-17,2605.010009765625,2602.199951171875,2609.3701171875,2591.010009765625,0.0,0.0,0.0
2024-05-20,2607.929931640625,2632.169921875,2632.169921875,2607.929931640625,0.0,0.0,0.0
2024-05-21,2627.64990234375,2631.489990234375,2631.760009765625,2615.580078125,0.0,0.0,0.0
2024-05-22,2632.199951171875,2634.510009765625,2638.31005859375,2623.510009765625,0.0,0.0,0.0
2024-05-23,2637.4599609375,2641.469970703125,2648.199951171875,2631.389892578125,0.0,0.0,0.0
2024-05-24,2620.889892578125,2624.5,2626.389892578125,2607.699951171875,0.0,0.0,0.0
2024-05-27,2622.989990234375,2630.300048828125,2631.1298828125,2617.909912109375,0.0,0.0,0.0
2024-05-28,2632.909912109375,2616.2900390625,2637.0400390625,2605.300048828125,0.0,0.0,0.0
2024-05-29,2610.85009765625,2583.5,2613.3701171875,2582.949951171875,0.0,0.0,0.0
2024-05-30,2578.449951171875,2593.070068359375,2595.300048828125,2574.68994140625,0.0,0.0,0.0
2024-05-31,2595.0400390625,2604.10009765625,2606.179931640625,2584.639892578125,0.0,0.0,0.0
2024-06-03,2627.469970703125,2612.02001953125,2636.260009765625,2606.169921875,0.0,0.0,0.0
2024-06-04,2607.219970703125,2587.699951171875,2608.219970703125,2582.06005859375,0.0,0.0,0.0
2024-06-05,2600.909912109375,2609.719970703125,2614.02001953125,2598.0,0.0,0.0,0.0
2024-06-07,2620.949951171875,2623.590087890625,2630.8701171875,2605.169921875,0.0,0.0,0.0
2024-06-10,2609.909912109375,2600.719970703125,2612.260009765625,2587.360107421875,0.0,0.0,0.0
2024-06-11,2607.35009765625,2586.9599609375,2614.760009765625,2574.419921875,0.0,0.0,0.0
2024-06-12,2593.909912109375,2627.1201171875,2632.18994140625,2592.830078125,0.0,0.0,0.0
2024-06-13,2624.830078125,2587.110107421875,2625.159912109375,2586.070068359375,0.0,0.0,0.0
2024-06-14,2592.22998046875,2561.60009765625,2592.429931640625,2554.780029296875,0.0,0.0,0.0
2024-06-17,2572.06005859375,2558.510009765625,2581.679931640625,2548.010009765625,0.0,0.0,0.0
2024-06-18,2573.969970703125,2566.489990234375,2575.010009765625,2554.02001953125,0.0,0.0,0.0
2024-06-19,2565.820068359375,2554.2099609375,2565.820068359375,2554.2099609375,0.0,0.0,0.0
2024-06-20,2558.760009765625,2573.77001953125,2576.739990234375,2557.9599609375,0.0,0.0,0.0
2024-06-24,2551.72998046875,2594.5400390625,2595.800048828125,2549.179931640625,0.0,0.0,0.0
2024-06-25,2583.93994140625,2561.570068359375,2584.330078125,2557.760009765625,0.0,0.0,0.0
2024-06-26,2577.260009765625,2572.239990234375,2595.0,2562.409912109375,0.0,0.0,0.0
2024-06-27,2571.27001953125,2557.8701171875,2575.989990234375,2557.080078125,0.0,0.0,0.0
2024-06-28,2572.300048828125,2569.449951171875,2576.47998046875,2561.139892578125,0.0,0.0,0.0
2024-07-01,2591.320068359375,2584.830078125,2592.820068359375,2570.909912109375,0.0,0.0,0.0
2024-07-02,2573.85009765625,2554.1201171875,2573.85009765625,2547.139892578125,0.0,0.0,0.0
2024-07-03,2564.7099609375,2565.27001953125,2583.1298828125,2557.409912109375,0.0,0.0,0.0
2024-07-04,2569.909912109375,2571.8701171875,2583.9599609375,2566.159912109375,0.0,0.0,0.0
2024-07-05,2575.919921875,2556.530029296875,2583.320068359375,2552.070068359375,0.0,0.0,0.0
2024-07-08,2553.72998046875,2564.300048828125,2568.570068359375,2547.14990234375,0.0,0.0,0.0
2024-07-09,2562.110107421875,2534.219970703125,2563.0400390625,2529.590087890625,0.0,0.0,0.0
2024-07-10,2539.830078125,2548.39990234375,2548.699951171875,2528.139892578125,0.0,0.0,0.0
2024-07-11,2559.489990234375,2574.280029296875,2579.659912109375,2549.330078125,0.0,0.0,0.0
2024-07-12,2582.89990234375,2630.610107421875,2635.2099609375,2582.89990234375,0.0,0.0,0.0
2024-07-15,2619.219970703125,2605.2900390625,2621.47998046875,2600.239990234375,0.0,0.0,0.0
2024-07-16,2599.090087890625,2613.580078125,2615.510009765625,2592.219970703125,0.0,0.0,0.0
2024-07-17,2600.320068359375,2597.56005859375,2602.7900390625,2577.739990234375,0.0,0.0,0.0
2024-07-18,2611.0400390625,2597.7900390625,2616.72998046875,2584.510009765625,0.0,0.0,0.0
2024-07-19,2592.0400390625,2570.6298828125,2594.320068359375,2570.6298828125,0.0,0.0,0.0
2024-07-22,2579.669921875,2593.429931640625,2609.1298828125,2577.6298828125,0.0,0.0,0.0
2024-07-23,2602.169921875,2596.429931640625,2610.35009765625,2582.679931640625,0.0,0.0,0.0
2024-07-24,2579.570068359375,2570.969970703125,2581.89990234375,2564.699951171875,0.0,0.0,0.0
2024-07-25,2548.739990234375,2562.3701171875,2562.8701171875,2527.780029296875,0.0,0.0,0.0
2024-07-26,2553.56005859375,2578.75,2582.18994140625,2553.25,0.9254692792892456,0.037812359631061554,0.03671836107969284
2024-07-29,2590.8701171875,2580.0,2603.14990234375,2580.0,0.0,0.0,0.0
2024-07-30,2585.97998046875,2595.25,2600.25,2585.510009765625,0.0,0.0,0.0
2024-07-31,2614.840087890625,2609.330078125,2622.419921875,2603.7099609375,0.0,0.0,0.0
2024-08-01,2599.77001953125,2547.179931640625,2599.77001953125,2544.35009765625,0.0,0.0,0.0
2024-08-02,2522.280029296875,2467.0,2522.280029296875,2460.6201171875,0.0,0.0,0.0
2024-08-05,2388.3798828125,2411.260009765625,2416.60009765625,2356.64990234375,0.0,0.0,0.0
2024-08-06,2434.2099609375,2402.9599609375,2439.989990234375,2383.659912109375,0.0,0.0,0.0
2024-08-07,2418.830078125,2442.1298828125,2452.2900390625,2416.5400390625,0.0,0.0,0.0
2024-08-08,2424.3798828125,2450.389892578125,2454.06005859375,2406.1201171875,0.0,0.0,0.0
2024-08-09,2456.27001953125,2458.590087890625,2476.860107421875,2447.570068359375,0.0,0.0,0.0
2024-08-12,2469.39990234375,2460.89990234375,2473.93994140625,2454.889892578125,0.0,0.0,0.0
2024-08-13,2471.610107421875,2472.9599609375,2474.510009765625,2453.489990234375,0.0,0.0,0.0
2024-08-14,2488.110107421875,2494.18994140625,2496.5400390625,2484.800048828125,0.0,0.0,0.0
2024-08-15,2504.659912109375,2522.81005859375,2529.77001953125,2495.280029296875,0.0,0.0,0.0
2024-08-16,2528.7099609375,2533.090087890625,2539.830078125,2524.669921875,0.0,0.0,0.0
2024-08-19,2534.39990234375,2540.830078125,2542.27001953125,2533.449951171875,0.9471303224563599,0.03667622432112694,0.016193462535738945
2024-08-20,2545.89990234375,2527.2900390625,2546.889892578125,2525.169921875,0.0,0.0,0.0
2024-08-21,2527.550048828125,2523.93994140625,2538.93994140625,2514.889892578125,0.0,0.0,0.0
2024-08-22,2526.110107421875,2541.10009765625,2550.47998046875,2525.320068359375,0.0,0.0,0.0
2024-08-23,2541.570068359375,2559.27001953125,2567.2900390625,2536.81005859375,0.0,0.0,0.0
2024-08-26,2557.3798828125,2567.1201171875,2572.97998046875,2554.7099609375,0.0,0.0,0.0
2024-08-27,2569.5400390625,2556.75,2573.52001953125,2553.02001953125,0.9043235182762146,0.07948745787143707,0.016189029440283775
2024-08-28,2559.090087890625,2562.5400390625,2572.840087890625,2551.7900390625,0.0,0.0,0.0
2024-08-29,2564.889892578125,2587.89990234375,2591.5400390625,2564.22998046875,0.0,0.0,0.0
2024-08-30,2589.27001953125,2595.9599609375,2601.139892578125,2585.6201171875,0.0,0.0,0.0
2024-09-02,2595.27001953125,2589.97998046875,2595.4599609375,2578.77001953125,0.0,0.0,0.0
2024-09-03,2591.550048828125,2565.780029296875,2598.919921875,2562.18994140625,0.0,0.0,0.0
2024-09-04,2523.31005859375,2531.719970703125,2544.27001953125,2521.949951171875,0.0,0.0,0.0
2024-09-05,2523.199951171875,2509.300048828125,2532.050048828125,2505.429931640625,0.0,0.0,0.0
2024-09-06,2494.989990234375,2480.989990234375,2516.080078125,2478.330078125,0.5358430743217468,0.4558522403240204,0.00830475427210331
2024-09-09,2495.780029296875,2511.43994140625,2517.429931640625,2495.68994140625,0.0,0.0,0.0
2024-09-10,2504.89990234375,2495.760009765625,2521.739990234375,2489.7900390625,0.0,0.0,0.0
2024-09-11,2499.909912109375,2489.9599609375,2515.340087890625,2482.010009765625,0.0,0.0,0.0
2024-09-12,2523.25,2510.5400390625,2537.72998046875,2499.8798828125,0.0,0.0,0.0
2024-09-13,2513.72998046875,2525.179931640625,2528.7099609375,2513.080078125,0.0,0.0,0.0
2024-09-16,2516.72998046875,2529.75,2534.580078125,2514.699951171875,0.0,0.0,0.0
2024-09-17,2538.199951171875,2555.89990234375,2561.4599609375,2537.840087890625,0.0,0.0,0.0
2024-09-18,2555.199951171875,2544.25,2555.2099609375,2536.5,0.0,0.0,0.0
2024-09-19,2569.27001953125,2592.909912109375,2600.75,2565.7099609375,0.0,0.0,0.0
2024-09-20,2588.179931640625,2579.14990234375,2595.60009765625,2574.02001953125,0.953963041305542,0.0372648723423481,0.00877209473401308
2024-09-23,2578.68994140625,2583.85009765625,2591.989990234375,2563.659912109375,0.9561724662780762,0.035195935517549515,0.008631561882793903
2024-09-24,2603.780029296875,2590.010009765625,2608.840087890625,2577.550048828125,0.9176890850067139,0.05094418302178383,0.031366754323244095
2024-09-25,2582.8701171875,2610.909912109375,2615.0400390625,2582.8701171875,0.9195703864097595,0.051370296627283096,0.029059316962957382
2024-09-26,2641.7099609375,2642.429931640625,2649.919921875,2625.169921875,0.9524500966072083,0.030444329604506493,0.017105549108237028
2024-09-27,2644.800048828125,2639.449951171875,2647.919921875,2632.409912109375,0.0,0.0,0.0
2024-09-30,2635.18994140625,2626.43994140625,2649.489990234375,2620.139892578125,0.9547451138496399,0.03657142445445061,0.008683436550199986
2024-10-01,2632.75,2611.340087890625,2641.219970703125,2603.64990234375,0.0,0.0,0.0
2024-10-02,2614.330078125,2620.659912109375,2623.300048828125,2606.1298828125,0.928819477558136,0.044510368257761,0.026670143008232117
2024-10-03,2615.31005859375,2594.5,2619.719970703125,2588.820068359375,0.0,0.0,0.0
2024-10-04,2593.050048828125,2603.800048828125,2616.31005859375,2588.6298828125,0.9683166146278381,0.022739095613360405,0.008944308385252953
